tenure,MonthlyCharges,TotalCharges,avg_charges_per_month,charge_increase,Charges_consistency,gender_Male,SeniorCitizen_1,Partner_Yes,Dependents_Yes,PhoneService_Yes,MultipleLines_No phone service,MultipleLines_Yes,InternetService_Fiber optic,InternetService_No,OnlineSecurity_No internet service,OnlineSecurity_Yes,OnlineBackup_No internet service,OnlineBackup_Yes,DeviceProtection_No internet service,DeviceProtection_Yes,TechSupport_No internet service,TechSupport_Yes,StreamingTV_No internet service,StreamingTV_Yes,StreamingMovies_No internet service,StreamingMovies_Yes,Contract_One year,Contract_Two year,PaperlessBilling_Yes,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,tenure_group_1-2yr,tenure_group_2-4yr,tenure_group_4+yr,Churn
1.3218163049693654,0.9815557839637743,1.6599003993413788,92.10227272727273,2.4477272727272634,0,1,0,1,1,1,0,1,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0
-0.26741022933725495,-0.9715455124063844,-0.5622521877037466,37.870370370370374,-2.120370370370374,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
1.4440644999160286,0.8370661472425127,1.756103949661117,91.27028985507246,-1.0702898550724598,0,0,0,1,0,1,0,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0
-1.2046463905950056,0.6410916974366633,-0.9083256719398274,58.7625,25.537499999999994,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
0.6698259319204956,-0.8087870710422046,-0.10156067732153597,41.415,-0.7650000000000006,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
1.2810669066538112,1.0629350046458643,1.814665498679414,98.93692307692307,-1.9369230769230654,0,0,1,1,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0
-1.041648797332788,-0.023228471396724102,-0.8156380119926696,55.74375,8.556249999999999,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
-0.43040782259947247,0.9367141725675209,-0.06352313835317878,93.79565217391306,-0.5956521739130523,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,1,0,0,0
-0.06366323775948311,-0.35372775539133416,-0.2877929954941682,51.46875,2.8812500000000014,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0
-1.0823981956483424,-0.5663102094180181,-0.8775396568649181,43.58571428571429,4.364285714285714,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1
-1.2861451872261143,-1.5212704521160125,-1.0031887890550197,9.6,9.6,1,1,0,0,1,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0
-1.0823981956483424,0.4667076531178991,-0.8206701300884257,62.07142857142857,16.978571428571428,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
-0.8379018057550162,0.4916196594491511,-0.5716132458207426,77.01538461538462,2.7846153846153783,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
1.158818711707148,1.3735046835754727,1.9554988824160988,108.89274193548388,-2.542741935483889,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,0
0.4253295420271693,-1.5063232483172613,-0.6691572293450275,17.710227272727273,1.9397727272727252,0,0,0,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0
-0.1044126360750375,-0.820412673996789,-0.4961314743844014,37.83709677419355,2.46290322580645,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1
-0.43040782259947247,-0.32715494863799877,-0.4872977998232925,51.87173913043478,3.278260869565216,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,1,0,0,1,0,0,1
0.7920741268671586,-1.3933888196155855,-0.46002767512096376,23.681132075471698,-0.6311320754716974,0,0,0,1,1,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0
-1.2861451872261143,-0.29061733935216244,-0.9869058217670055,28.125,28.125,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1
0.9958211184449305,0.9865381852300249,1.3919016556914172,94.29224137931034,0.4077586206896626,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0
1.607062093178246,-0.35871015665758454,0.7188283924905056,53.93767123287671,0.262328767123293,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,1,0,1,0,0,0,1,1
0.3845801437116149,1.288803862049216,0.8902500224686418,100.63953488372093,3.1604651162790702,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0
-0.715653610808353,-1.501340847051011,-0.8916691412997265,17.059375,2.7406250000000014,0,0,0,1,1,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0
1.2810669066538112,0.5331396700012379,1.2452890271548036,79.00538461538463,2.044615384615369,0,1,0,1,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
0.5883271352893868,0.6626821029237485,0.7542509879942559,83.70937500000001,1.2406249999999943,0,1,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0
-1.2453957889105598,-1.1940927689655694,-0.9919599141775901,14.916666666666666,14.133333333333335,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
